verbe,temps,1ps,2ps,3ps,1pp,2pp,3pp
reproduire,Présent,reproduis,reproduis,reproduit,reproduisons,reproduisez,reproduisent
reproduire,Passé composé,ai reproduit,as reproduit,a reproduit,avons reproduit,avez reproduit,ont reproduit
reproduire,Imparfait,reproduisais,reproduisais,reproduisait,reproduisions,reproduisiez,reproduisaient
reproduire,Futur simple,reproduirai,reproduiras,reproduira,reproduirons,reproduirez,reproduiront
requérir,Présent,requiers,requiers,requiert,requérons,requérez,requièrent
requérir,Passé composé,ai requis,as requis,a requis,avons requis,avez requis,ont requis
requérir,Imparfait,requérais,requérais,requérait,requérions,requériez,requéraient
requérir,Futur simple,requerrai,requerras,requerra,requerrons,requerrez,requerront
résoudre,Présent,résous,résous,résout,résolvons,résolvez,résolvent
résoudre,Passé composé,ai résolu,as résolu,a résolu,avons résolu,avez résolu,ont résolu
résoudre,Imparfait,résolvais,résolvais,résolvait,résolvions,résolviez,résolvaient
résoudre,Futur simple,résoudrai,résoudras,résoudra,résoudrons,résoudrez,résoudront
ressentir,Présent,ressens,ressens,ressent,ressentons,ressentez,ressentent
ressentir,Passé composé,ai ressenti,as ressenti,a ressenti,avons ressenti,avez ressenti,ont ressenti
ressentir,Imparfait,ressentais,ressentais,ressentait,ressentions,ressentiez,ressentaient
ressentir,Futur simple,ressentirai,ressentiras,ressentira,ressentirons,ressentirez,ressentiront
resservir,Présent,ressers,ressers,ressert,resservons,resservez,resservent
resservir,Passé composé,ai resservi,as resservi,a resservi,avons resservi,avez resservi,ont resservi
resservir,Imparfait,resservais,resservais,resservait,resservions,resserviez,resservaient
resservir,Futur simple,resservirai,resserviras,resservira,resservirons,resservirez,resserviront
ressortir,Présent,ressors,ressors,ressort,ressortons,ressortez,ressortent
ressortir,Passé composé,ai ressorti,as ressorti,a ressorti,avons ressorti,avez ressorti,ont ressorti
ressortir,Imparfait,ressortais,ressortais,ressortait,ressortions,ressortiez,ressortaient
ressortir,Futur simple,ressortirai,ressortiras,ressortira,ressortirons,ressortirez,ressortiront
restreindre,Présent,restreins,restreins,restreint,restreignons,restreignez,restreignent
restreindre,Passé composé,ai restreint,as restreint,a restreint,avons restreint,avez restreint,ont restreint
restreindre,Imparfait,restreignais,restreignais,restreignait,restreignions,restreigniez,restreignaient
restreindre,Futur simple,restreindrai,restreindras,restreindra,restreindrons,restreindrez,restreindront
reteindre,Présent,reteins,reteins,reteint,reteignons,reteignez,reteignent
reteindre,Passé composé,ai reteint,as reteint,a reteint,avons reteint,avez reteint,ont reteint
reteindre,Imparfait,reteignais,reteignais,reteignait,reteignions,reteigniez,reteignaient
reteindre,Futur simple,reteindrai,reteindras,reteindra,reteindrons,reteindrez,reteindront
retendre,Présent,retends,retends,retend,retendons,retendez,retendent
retendre,Passé composé,ai retendu,as retendu,a retendu,avons retendu,avez retendu,ont retendu
retendre,Imparfait,retendais,retendais,retendait,retendions,retendiez,retendaient
retendre,Futur simple,retendrai,retendras,retendra,retendrons,retendrez,retendront
retenir,Présent,retiens,retiens,retient,retenons,retenez,retiennent
retenir,Passé composé,ai retenu,as retenu,a retenu,avons retenu,avez retenu,ont retenu
retenir,Imparfait,retenais,retenais,retenait,retenions,reteniez,retenaient
retenir,Futur simple,retiendrai,retiendras,retiendra,retiendrons,retiendrez,retiendront
retondre,Présent,retonds,retonds,retond,retondons,retondez,retondent
retondre,Passé composé,ai retondu,as retondu,a retondu,avons retondu,avez retondu,ont retondu
retondre,Imparfait,retondais,retondais,retondait,retondions,retondiez,retondaient
retondre,Futur simple,retondrai,retondras,retondra,retondrons,retondrez,retondront
retordre,Présent,retords,retords,retord,retordons,retordez,retordent
retordre,Passé composé,ai retordu,as retordu,a retordu,avons retordu,avez retordu,ont retordu
retordre,Imparfait,retordais,retordais,retordait,retordions,retordiez,retordaient
retordre,Futur simple,retordrai,retordras,retordra,retordrons,retordrez,retordront
retraduire,Présent,retraduis,retraduis,retraduit,retraduisons,retraduisez,retraduisent
retraduire,Passé composé,ai retraduit,as retraduit,a retraduit,avons retraduit,avez retraduit,ont retraduit
retraduire,Imparfait,retraduisais,retraduisais,retraduisait,retraduisions,retraduisiez,retraduisaient
retraduire,Futur simple,retraduirai,retraduiras,retraduira,retraduirons,retraduirez,retraduiront
retraire,Présent,retrais,retrais,retrait,retrayons,retrayez,retraient
retraire,Passé composé,ai retrait,as retrait,a retrait,avons retrait,avez retrait,ont retrait
retraire,Imparfait,retrayais,retrayais,retrayait,retrayions,retrayiez,retrayaient
retraire,Futur simple,retrairai,retrairas,retraira,retrairons,retrairez,retrairont
retranscrire,Présent,retranscris,retranscris,retranscrit,retranscrivons,retranscrivez,retranscrivent
retranscrire,Passé composé,ai retranscrit,as retranscrit,a retranscrit,avons retranscrit,avez retranscrit,ont retranscrit
retranscrire,Imparfait,retranscrivais,retranscrivais,retranscrivait,retranscrivions,retranscriviez,retranscrivaient
retranscrire,Futur simple,retranscrirai,retranscriras,retranscrira,retranscrirons,retranscrirez,retranscriront
retransmettre,Présent,retransmets,retransmets,retransmet,retransmettons,retransmettez,retransmettent
retransmettre,Passé composé,ai retransmis,as retransmis,a retransmis,avons retransmis,avez retransmis,ont retransmis
retransmettre,Imparfait,retransmettais,retransmettais,retransmettait,retransmettions,retransmettiez,retransmettaient
retransmettre,Futur simple,retransmettrai,retransmettras,retransmettra,retransmettrons,retransmettrez,retransmettront
rire,Présent,ris,ris,rit,rions,riez,rient
rire,Passé composé,ai ri,as ri,a ri,avons ri,avez ri,ont ri
rire,Imparfait,riais,riais,riait,riions,riiez,riaient
rire,Futur simple,rirai,riras,rira,rirons,rirez,riront
rompre,Présent,romps,romps,romp,rompons,rompez,rompez
rompre,Passé composé,ai rompu,as rompu,a rompu,avons rompu,avez rompu,ont rompu
rompre,Imparfait,rompais,rompais,rompait,rompions,rompiez,rompaient
rompre,Futur simple,romprai,rompras,rompra,romprons,romprez,rompront
rouvrir,Présent,rouvre,rouvres,rouvre,rouvrons,rouvrez,rouvrent
rouvrir,Passé composé,ai rouvert,as rouvert,a rouvert,avons rouvert,avez rouvert,ont rouvert
rouvrir,Imparfait,rouvrais,rouvrais,rouvrait,rouvrions,rouvriez,rouvraient
rouvrir,Futur simple,rouvrirai,rouvriras,rouvrira,rouvrirons,rouvrirez,rouvriront
sallir,Présent,,,saille,,,saillent
sallir,Passé composé,,,a sailli,,,ont sailli
sallir,Imparfait,,,saillait,,,saillaient
sallir,Futur simple,,,saillera,,,sailleront
satisfaire,Présent,satisfais,satisfais,satisfait,satisfaisons,satisfaites,satisfont
satisfaire,Passé composé,ai satisfait,as satisfait,a satisfait,avons satisfait,avez satisfait,ont satisfait
satisfaire,Imparfait,satisfaisais,satisfaisais,satisfaisait,satisfaisions,satisfaisiez,satisfaisaient
satisfaire,Futur simple,satisferai,satisferas,satisfera,satisferons,satisferez,satisferont
savoir,Présent,sais,sais,sait,savons,savez,savent
savoir,Passé composé,ai su,as su,a su,avons su,avez su,ont su
savoir,Imparfait,savais,savais,savait,savions,saviez,savaient
savoir,Futur simple,saurai,sauras,saura,saurons,saurez,sauront
secourir,Présent,secours,secours,secourt,secourons,secourez,secourent
secourir,Passé composé,ai secouru,as secouru,a secouru,avons secouru,avez secouru,ont secouru
secourir,Imparfait,secourais,secourais,secourait,secourions,secouriez,secouraient
secourir,Futur simple,secourrai,secourras,secourra,secourrons,secourrez,secourront
séduire,Présent,séduis,séduis,séduit,séduisons,séduisez,séduisent
séduire,Passé composé,ai séduit,as séduit,a séduit,avons séduit,avez séduit,ont séduit
séduire,Imparfait,séduisais,séduisais,séduisait,séduisions,séduisiez,séduisaient
séduire,Futur simple,séduirai,séduiras,séduira,séduirons,séduirez,séduiront
sentir,Présent,sens,sens,sent,sentons,sentez,sentent
sentir,Passé composé,ai senti,as senti,a senti,avons senti,avez senti,ont senti
sentir,Imparfait,sentais,sentais,sentait,sentions,sentiez,sentaient
sentir,Futur simple,sentirai,sentira,sentiras,sentirons,sentirez,sentiront
servir,Présent,sers,sers,sert,servons,servez,servent
servir,Passé composé,ai servi,as servi,a servi,avons servi,avez servi,ont servi
servir,Imparfait,servais,servais,servait,servions,serviez,servaient
servir,Futur simple,servirai,serviras,servira,servirons,servirez,serviront
sortir,Présent,sors,sors,sort,sortons,sortez,sortent
sortir,Passé composé,ai sorti,as sorti,a sorti,avons sorti,avez sorti,ont sorti
sortir,Imparfait,sortais,sortais,sortait,sortions,sortiez,sortaient
sortir,Futur simple,sortirai,sortiras,sortira,sortirons,sortirez,sortiront
soubattre,Présent,soubats,soubats,soubat,soubattons,soubattez,soubattent
soubattre,Passé composé,ai soubattu,as soubattu,a soubattu,avons soubattu,avez soubattu,ont soubattu
soubattre,Imparfait,soubattais,soubattais,soubattait,soubattions,soubattiez,soubattaient
soubattre,Futur simple,soubattrai,soubattras,soubattra,soubattrons,soubattrez,soubattront
souffrir,Présent,souffre,souffres,souffre,souffrons,souffrez,souffrent
souffrir,Passé composé,ai souffert,as souffert,a souffert,avons souffert,avez souffert,ont souffert
souffrir,Imparfait,souffrais,souffrais,souffrait,souffrions,souffriez,souffraient
souffrir,Futur simple,souffrirai,souffriras,souffrira,souffrirons,souffrirez,souffriront
soumettre,Présent,soumets,soumets,soumet,soumettons,soumettez,soumettent
soumettre,Passé composé,ai soumis,as soumis,a soumis,avons soumis,avez soumis,ont soumis
soumettre,Imparfait,soumettais,soumettais,soumettait,soumettions,soumettiez,soumettaient
soumettre,Futur simple,soumettrai,soumettras,soumettra,soumettrons,soumettrez,soumettront
sourire,Présent,souris,souris,sourit,sourions,souriez,sourient
sourire,Passé composé,ai souri,as souri,a souri,avons souri,avez souri,ont souri
sourire,Imparfait,souriais,souriais,souriait,souriions,souriiez,souriaient
sourire,Futur simple,sourirai,souriras,sourira,sourirons,sourirez,souriront
Sous-entendre,Présent,sous-entends,sous-entends,Sous-entend,sous-entendons,Sous-entendez,Sous-entendent
Sous-entendre,Passé composé,ai sous-entendu,as sous-entendu,a sous-entendu,avons sous-entendu,avez sous-entendu,ont sous-entendu
Sous-entendre,Imparfait,sous-entendais,Sous-entendais,Sous-entendait,Sous-entendions,Sous-entendiez,Sous-entendaient
Sous-entendre,Futur simple,sous-entendrai,Sous-entendras,Sous-entendra,sous-entendrons,Sous-entendrez,Sous-entendront
Sous-tendre,Présent,sous-tends,sous-tends,Sous-tend,sous-tendons,Sous-tendez,Sous-tendent
Sous-tendre,Passé composé,ai sous-tendu,as sous-tendu,a sous-tendu,avons sous-tendu,avez sous-tendu,ont sous-tendu
Sous-tendre,Imparfait,sous-tendais,sous-tendais,Sous-tendait,sous-tendions,Sous-tendiez,Sous-tendaient
Sous-tendre,Futur simple,sous-tendrai,Sous-tendras,Sous-tendra,sous-tendrons,Sous-tendrez,sous-tendront
souscrire,Présent,souscris,souscris,souscrit,souscrivons,souscrivez,souscrivent
souscrire,Passé composé,ai souscrit,as souscrit,a souscrit,avons souscrit,avez souscrit,ont souscrit
souscrire,Imparfait,souscrivais,souscrivais,souscrivait,souscrivions,souscriviez,souscrivaient
souscrire,Futur simple,souscrirai,souscriras,souscrira,souscrirons,souscrirez,souscriront
soustraire,Présent,soustrais,soustrais,soustrait,soustrayons,soustrayez,soustraient
soustraire,Passé composé,ai soustrait,as soustrait,a soustrait,avons soustrait,avez soustrait,ont soustrait
soustraire,Imparfait,soustrayais,soustrayais,soustrayait,soustrayions,soustrayiez,soustrayaient
soustraire,Futur simple,soustrairai,soustrairas,soustraira,soustrairons,soustrairez,soustrairont
soutenir,Présent,soutiens,soutiens,soutient,soutenons,soutenez,soutiennent
soutenir,Passé composé,ai soutenu,as soutenu,a soutenu,avons soutenu,avez soutenu,ont soutenu
soutenir,Imparfait,soutenais,soutenais,soutenait,soutenions,souteniez,soutenaient
soutenir,Futur simple,soutiendrai,soutiendras,soutiendra,soutiendrons,soutiendrez,soutiendront
subvenir,Présent,subviens,subviens,subvient,subvenons,subvenez,subviennent
subvenir,Passé composé,ai subvenu,as subvenu,a subvenu,avons subvenu,avez subvenu,ont subvenu
subvenir,Imparfait,subvenais,subvenais,subvenait,subvenions,subveniez,subvenaient
subvenir,Futur simple,subviendrai,subviendras,subviendra,subviendrons,subviendrez,subviendront
suffire,Présent,suffis,suffis,suffit,suffisons,suffisez,suffisent
suffire,Passé composé,ai suffi,as suffi,a suffi,avons suffi,avez suffi,ont suffi
suffire,Imparfait,suffisais,suffisais,suffisait,suffisions,suffisiez,suffisaient
suffire,Futur simple,suffirai,suffiras,suffira,suffirons,suffirez,suffiront
suivre,Présent,suis,suis,suit,suivons,suivez,suivent
suivre,Passé composé,ai suivi,as suivi,a suivi,avons suivi,avez suivi,ont suivi
suivre,Imparfait,suivais,suivais,suivait,suivions,suiviez,suivient
suivre,Futur simple,suivrai,suivras,suivra,suivrons,suivrez,suivront
surfaire,Présent,surfais,surfais,surfait,surfaisons,surfaisez,surfont
surfaire,Passé composé,ai surfait,as surfait,a surfait,avons surfait,avez surfait,ont surfait
surfaire,Imparfait,surfaisais,surfaisais,surfaisait,surfaisions,surfaisiez,surfaisaient
surfaire,Futur simple,surferai,surferas,surfera,surferons,surferez,surferont
surprendre,Présent,surprends,surprends,surprend,surprenons,surprenez,surprennent
surprendre,Passé composé,ai surpris,as surpris,a surpris,avons surpris,avez surpris,ont surpris
surprendre,Imparfait,surprenais,surprenais,surprenait,surprenions,surpreniez,surprenaient
surprendre,Futur simple,surprendrai,surprendras,surprendra,surprendrons,surprendrez,surprendront
surproduire,Présent,surproduis,surproduis,surproduit,surproduisons,surproduisez,surproduisent
surproduire,Passé composé,ai surproduit,as surproduit,a surproduit,avons surproduit,avez surproduit,ont surproduit
surproduire,Imparfait,surproduisais,surproduisais,surproduisait,surproduisions,surproduisiez,surproduisaient
surproduire,Futur simple,surproduirai,surproduiras,surproduira,surproduirons,surproduirez,surproduiront
surtondre,Présent,surtonds,surtonds,surtond,surtondons,surtondez,surtondent
surtondre,Passé composé,ai surtondu,as surtondu,a surtondu,avons surtondu,avez surtondu,ont surtondu
surtondre,Imparfait,surtondais,surtondais,surtondait,surtondions,surtondiez,surtondaient
surtondre,Futur simple,surtondrai,surtondras,surtondra,surtondrons,surtondrez,surtondront
survendre,Présent,survends,survends,survend,survendons,survendez,survendent
survendre,Passé composé,ai survendu,as survendu,a survendu,avons survendu,avez survendu,ont survendu
survendre,Imparfait,survendais,survendais,survendait,survendions,survendiez,survendaient
survendre,Futur simple,survendrai,survendras,survendra,survendrons,survendrez,survendront
survenir,Présent,surviens,surviens,survient,survenons,survenez,surviennent
survenir,Passé composé,suis survenu,es survenu,est survenu,sommes survenu,êtes survenu,sont survenu
survenir,Imparfait,survenais,survenais,survenait,survenions,surveniez,survenaient
survenir,Futur simple,surviendrai,surviendras,surviendra,surviendrons,surviendrez,surviendront
survivre,Présent,survis,survis,survit,survivons,survivez,survivent
survivre,Passé composé,ai survécu,as survécu,a survécu,avons survécu,avez survécu,ont survécu
survivre,Imparfait,survivais,survivais,survivait,survivions,surviviez,survivaient
survivre,Futur simple,survivrai,survivras,survivra,survivrons,survivrez,survivront
suspendre,Présent,suspends,suspends,suspend,suspendons,suspendez,suspendent
suspendre,Passé composé,ai suspendu,as suspendu,a suspendu,avons suspendu,avez suspendu,ont suspendu
suspendre,Imparfait,suspendais,suspendais,suspendait,suspendions,suspendiez,suspendaient
suspendre,Futur simple,suspendrai,suspendras,suspendra,suspendrons,suspendrez,suspendront
taire,Présent,tais,tais,tait,taisons,taisez,taisent
taire,Passé composé,ai tu,as tu,a tu,avons tu,avez tu,ont tu
taire,Imparfait,taisais,taisais,taisait,taisions,taisiez,taisaient
taire,Futur simple,tairai,tairas,taira,tairons,tairez,tairont
teindre,Présent,teins,teins,teint,teignons,teignez,teignent
teindre,Passé composé,ai teint,as teint,a teint,avons teint,avez teint,ont teint
teindre,Imparfait,teignais,teignais,teignait,teignions,teigniez,teignaient
teindre,Futur simple,teindrai,teindras,teindra,teindrons,teindrez,teindront
tendre,Présent,tends,tends,tend,tendons,tendez,tendent
tendre,Passé composé,ai tendu,as tendu,a tendu,avons tendu,avez tendu,ont tendu
tendre,Imparfait,tendais,tendais,tendait,tendions,tendiez,tendaient
tendre,Futur simple,tendrai,tendras,tendra,tendrons,tendrez,tendront
tenir,Présent,tiens,tiens,tient,tenons,tenez,tiennent
tenir,Passé composé,ai tenu,as tenu,a tenu,avons tenu,avez tenu,ont tenu
tenir,Imparfait,tenais,tenais,tenait,tenions,teniez,tenaient
tenir,Futur simple,tiendrai,tiendras,tiendra,tiendrons,tiendrez,tiendront
tondre,Présent,tonds,tonds,tond,tondons,tondez,tondent
tondre,Passé composé,ai tondu,as tondu,a tondu,avons tondu,avez tondu,ont tondu
tondre,Imparfait,tondais,tondais,tondait,tondions,tondiez,tondaient
tondre,Futur simple,tondrai,tondras,tondra,tondrons,tondrez,tondront
tordre,Présent,tords,tords,tord,tordons,tordez,tordent
tordre,Passé composé,ai tordu,as tordu,a tordu,avons tordu,avez tordu,ont tordu
tordre,Imparfait,tordais,tordais,tordait,tordions,tordiez,tordaient
tordre,Futur simple,tordrai,tordras,tordra,tordrons,tordrez,tordront
traduire,Présent,traduis,traduis,traduit,traduisons,traduisez,traduisent
traduire,Passé composé,ai traduit,as traduit,a traduit,avons traduit,avez traduit,ont traduit
traduire,Imparfait,traduisais,traduisais,traduisait,traduisions,traduisiez,traduisaient
traduire,Futur simple,traduirai,traduiras,traduira,traduirons,traduirez,traduiront
traire,Présent,trais,trais,trait,trayons,trayez,traient
traire,Passé composé,ai trait,as trait,a trait,avons trait,avez trait,ont trait
traire,Imparfait,trayais,trayais,trayait,trayions,trayiez,trayaient
traire,Futur simple,trairai,trairas,traira,trairons,trairez,trairont
transcrire,Présent,transcris,transcris,transcrit,transcrivons,transcrivez,transcrivent
transcrire,Passé composé,ai transcrit,as transcrit,a transcrit,avons transcrit,avez transcrit,ont transcrit
transcrire,Imparfait,transcrivais,transcrivais,transcrivait,transcrivions,transcriviez,transcrivaient
transcrire,Futur simple,transcrirai,transcriras,transcrira,transcrirons,transcrirez,transcriront
transmettre,Présent,transmets,transmets,transmet,transmettons,transmettez,transmettent
transmettre,Passé composé,ai transmis,as transmis,a transmis,avons transmis,avez transmis,ont transmis
transmettre,Imparfait,transmettais,transmettais,transmettait,transmettions,transmettiez,transmettaient
transmettre,Futur simple,transmettrai,transmettras,transmettra,transmettrons,transmettrez,transmettront
transparaître,Présent,transparais,transparais,transparaît,transparaissons,transparaissez,transparaissent
transparaître,Passé composé,ai transparu,as transparu,a transparu,avons transparu,avez transparu,ont transparu
transparaître,Imparfait,transparaissais,transparaissais,transparaissait,transparaissions,transparaissiez,transparaissaient
transparaître,Futur simple,transparaîtrai,transparaîtras,transparaîtra,transparaîtrons,transparaîtrez,transparaîtront
tréfondre,Présent,tréfonds,tréfonds,tréfond,tréfondons,tréfondez,tréfondent
tréfondre,Passé composé,ai tréfondu,as tréfondu,a tréfondu,avons tréfondu,avez tréfondu,ont tréfondu
tréfondre,Imparfait,tréfondais,tréfondais,tréfondait,tréfondions,tréfondiez,tréfondaient
tréfondre,Futur simple,tréfondrai,tréfondras,tréfondra,tréfondrons,tréfondrez,tréfondront
tresaillir,Présent,tressaille,tressailles,tressaille,tressaillons,tressaillez,tressaillent
tresaillir,Passé composé,ai tressailli,as tressailli,a tressailli,avons tressailli,avez tressailli,ont tressailli
tresaillir,Imparfait,tressaillais,tressaillais,tressaillait,tressaillions,tressailliez,tressaillaient
tresaillir,Futur simple,tressaillirai,tressailliras,tressaillira,tressaillirons,tressaillirez,tressailliront
vaincre,Présent,vaincs,vaincs,vainc,vainquons,vainquez,vainquent
vaincre,Passé composé,ai vaincu,as vaincu,a vaincu,avons vaincu,avez vaincu,ont vaincu
vaincre,Imparfait,vainquais,vainquais,vainquait,vainquions,vainquiez,vainquaient
vaincre,Futur simple,vaincrai,vaincras,vaincra,vaincrons,vaincrez,vaincront
valoir,Présent,vaux,vaux,vaut,valons,valez,valent
valoir,Passé composé,ai valu,as valu,a valu,avons valu,avez valu,ont valu
valoir,Imparfait,valais,valais,valait,valions,valiez,valaient
valoir,Futur simple,vaudrai,vaudras,vaudra,vaudrons,vaudrez,vaudront
vendre,Présent,vends,vends,vend,vendons,vendez,vendent
vendre,Passé composé,ai vendent,as vendent,a vendent,avons vendent,avez vendent,ont vendent
vendre,Imparfait,vendais,vendais,vendait,vendions,vendiez,vendaient
vendre,Futur simple,vendrai,vendras,vendra,vendrons,vendrez,vendront
venir,Présent,viens,viens,vien,venons,venez,viennent
venir,Passé composé,suis venu,es venu,est venu,sommes venu,êtes venu,sont venu
venir,Imparfait,venais,venais,venait,venions,veniez,venaient
venir,Futur simple,viendrai,viendras,viendra,viendrons,viendrez,viendront
vêtir,Présent,vêts,vêts,vêt,vêtons,vêtez,vêtent
vêtir,Passé composé,ai vêtu,as vêtu,a vêtu,avons vêtu,avez vêtu,ont vêtu
vêtir,Imparfait,vêtais,vêtais,vêtait,vêtions,vêtiez,vêtaient
vêtir,Futur simple,vêtirai,vêtiras,vêtira,vêtirons,vêtirez,vêtiront
vivre,Présent,vis,vis,vit,vivons,vivez,vivent
vivre,Passé composé,ai vécu,as vécu,a vécu,avons vécu,avez vécu,ont vécu
vivre,Imparfait,vivais,vivais,vivait,vivions,viviez,vivaient
vivre,Futur simple,vivrai,vivras,vivra,vivrons,vivrez,vivront
voir,Présent,vois,vois,voit,voyons,voyez,voient
voir,Passé composé,ai vu,as vu,a vu,avons vu,avez vu,ont vu
voir,Imparfait,voyais,voyais,voyait,voyions,voyiez,voyaient
voir,Futur simple,verrai,verras,verra,verrons,verrez,verront
vouloir,Présent,veux,veux,veut,voulons,voulez,veulent
vouloir,Passé composé,ai voulu,as voulu,a voulu,avons voulu,avez voulu,ont voulu
vouloir,Imparfait,voulais,voulais,voulait,voulions,vouliez,voulaient
vouloir,Futur simple,voudrai,voudras,voudra,voudrons,voudrez,voudront
